;Total Volume
47;1007418.76
48;692934.46
49;657741.34
50;670231.94
51;788025.06
0;62909.69
1;57504.05
2;58461.05
3;95295.34
4;49069.13
5;52875.58
6;68648.22
7;55847.79
8;53585.51
9;59874.45
10;54191.14
11;80904.19
12;59496.33
13;64187.8
14;73952.9
15;64208.84
16;64464.61
17;60099.83
18;70773.76
19;64001.61
20;61286.98
21;67763.91
22;67826.07
23;63958.04
24;74677.72
25;85044.45
26;75280.41
27;81397.07
28;87607.71
29;80751.29
30;76689.38
31;83209.77
32;77987.53
33;95788.53
34;85466.99
35;88111.17
36;89694.96
37;66246.3
38;76704.46
39;74543.98
40;61419.11
41;65918.28
42;65350.24
43;75046.37
44;76836.1
45;61221.98
46;69970.75
47;113578.24
48;66069.21
49;62870.49
50;57355.52
51;80034.32
0;450816.39
1;489802.88
2;549945.76
3;488679.31
4;350559.81
5;466759.99
6;513738.98
7;641759.57
8;553096.84
9;534249.47
10;725296.29
11;485706.68
12;536479.42
13;553307.04
14;498640.23
15;655682.95
16;577774.74
17;526664.87
18;589471.32
19;565795.06
20;690517.19
21;571994.5
22;500233.69
23;597168.12
24;634515.74
25;582909.73
26;560494.92
27;543504.66
28;684346.48
29;562542.86
30;565160.95
31;633521.98
32;534488.54
33;625558.14
34;552368.94
35;465911.37
36;504619.83
37;408485.16
38;449818.01
39;453631.25
40;453173.22
41;417750.36
42;408403.96
43;485736.1
44;355432.28
45;399883.99
46;609985.34
47;490022.14
48;409343.56
49;401331.33
50;437771.89
51;491738.0
0;96233.08
1;90867.51
2;98473.23
3;108457.82
4;79973.14
5;90242.31
6;99703.72
7;111038.95
8;118541.11
9;99554.55
10;106083.75
11;109153.84
12;98900.48
13;90745.72
14;60624.47
15;73043.2
16;76139.58
17;83731.42
18;68953.29
19;69798.09
20;81830.13
21;78162.92
22;91825.07
23;128846.15
24;127351.46
25;140413.9
26;137246.7
27;108655.36
28;149376.79
29;130908.11
30;130841.08
31;121942.61
32;137050.23
33;170547.18
34;136771.79
35;136964.3
36;139612.52
37;118172.53
38;124145.62
39;119890.65
40;119902.96
41;103413.11
42;125724.96
43;112363.86
44;109546.92
45;100207.14
46;132760.1
47;153920.35
48;114052.94
49;107040.29
50;106221.32
51;116253.44
0;5040365.47
1;4695737.21
2;5259354.3
3;5775536.27
4;4575710.62
5;4804278.16
6;5755190.69
7;5148983.51
8;5830427.96
9;4592461.81
10;4999031.79
11;5063309.38
12;4943781.29
13;5216784.63
14;4759791.13
15;5106508.12
16;5806392.78
17;5647385.15
18;5193221.0
19;5616434.08
20;6232081.27
21;5428238.87
22;5557616.27
23;5225200.52
24;5451636.92
25;6718011.83
26;5641742.02
27;5952597.29
28;6741662.31
29;6374842.9
30;6236903.31
31;5621713.64
32;5289138.5
33;6650357.96
34;8567534.49
35;4923565.04
36;5871080.81
37;5636644.51
38;5467155.55
39;5341821.67
40;5571812.77
41;5557163.11
42;5990243.89
43;6700134.25
44;5951871.32
45;5699944.93
46;5871224.58
47;9032180.67
48;4929884.26
49;5570915.26
50;6024932.34
51;5777334.9
0;156698.24
1;139917.89
2;157146.19
3;156114.08
4;138858.86
5;133618.33
6;169281.16
7;164322.04
8;171793.87
9;140920.61
10;156565.98
11;167396.56
12;146737.74
13;168780.22
14;161443.98
15;171077.53
16;227728.43
17;179026.88
18;203298.37
19;178525.52
20;173059.32
21;179321.9
22;173896.82
23;187575.03
24;182856.82
25;216118.9
26;193654.01
27;201173.1
28;207093.88
29;199980.3
30;194630.86
31;212527.72
32;190799.99
33;192767.09
34;261492.2
35;182141.55
36;180944.22
37;204005.24
38;177919.28
39;178788.49
40;182876.15
41;183944.05
42;159386.69
43;176146.34
44;201741.43
45;156798.51
46;150139.38
47;254009.7
48;167270.13
49;152671.15
50;159942.68
51;166006.29
0;661137.13
1;690669.34
2;668601.5
3;664020.49
4;602481.22
5;751897.89
6;641881.96
7;711146.61
8;807041.46
9;687650.27
10;690302.58
11;708914.17
12;675172.63
13;720501.55
14;729117.42
15;775671.49
16;808677.78
17;773773.53
18;751850.01
19;817690.89
20;731125.01
21;761027.42
22;791332.34
23;797060.27
24;772151.2
25;937317.45
26;786250.22
27;804902.52
28;868197.41
29;824216.23
30;803571.87
31;887105.04
32;817870.17
33;835938.63
34;978376.13
35;779868.01
36;832529.06
37;710718.98
38;751812.42
39;757271.96
40;799946.53
41;827010.39
42;772997.09
43;863391.73
44;773078.09
45;726401.24
46;729325.61
47;1133491.66
48;745439.17
49;797741.43
50;802874.94
51;783068.03
0;162993.77
1;175425.57
2;207386.27
3;207513.04
4;141356.34
5;174892.99
6;193723.22
7;239070.13
8;254760.33
9;203681.71
10;186044.56
11;213527.77
12;235243.88
13;202012.62
14;210445.12
15;216548.9
16;232157.91
17;234132.09
18;208608.84
19;234349.47
20;214374.41
21;206121.36
22;216611.18
23;223479.02
24;218170.8
25;250626.33
26;225165.84
27;243012.2
28;229363.51
29;234981.67
30;222382.69
31;222390.09
32;234579.34
33;259598.76
34;238140.96
35;214469.51
36;226978.72
37;188937.83
38;196168.6
39;198365.16
40;212719.94
41;196008.57
42;219110.81
43;226951.64
44;183072.02
45;169950.37
46;186617.2
47;300905.18
48;213554.45
49;175681.09
50;201392.27
51;228569.58
0;107565.04
1;117393.22
2;124617.07
3;137195.59
4;97235.6
5;115089.62
6;117462.94
7;152084.79
8;135237.01
9;119210.27
10;137773.84
11;145305.65
12;134326.53
13;137298.77
14;165068.86
15;169025.14
16;144563.15
17;147230.76
18;130920.97
19;155881.73
20;167387.9
21;148597.91
22;159846.2
23;159137.17
24;143992.91
25;173370.68
26;159970.54
27;164161.25
28;171353.59
29;187983.88
30;143985.96
31;171879.57
32;180511.78
33;162802.65
34;176737.77
35;161438.17
36;172913.44
37;129397.39
38;126109.82
39;139065.31
40;182625.49
41;149884.1
42;141281.56
43;136795.35
44;114280.87
45;106663.68
46;128078.27
47;216653.06
48;116995.68
49;116450.21
50;125742.48
51;158638.04
0;1020390.64
1;928051.16
2;980891.18
3;1054849.97
4;839818.87
5;885067.49
6;1040439.71
7;977717.36
8;1114177.66
9;1010394.81
10;992983.76
11;1100679.15
12;1104602.14
13;1063583.86
14;1155212.67
15;1212585.41
16;1270739.69
17;1101680.91
18;1120172.03
19;1122668.33
20;1124259.51
21;1067498.21
22;1191310.92
23;1186878.88
24;1144448.23
25;1320696.13
26;1203553.98
27;1283503.44
28;1508750.45
29;1255575.78
30;1377670.81
31;1184131.34
32;1219398.43
33;1298826.19
34;1282852.08
35;1102639.51
36;1137811.87
37;1266899.55
38;1324348.89
39;1164808.22
40;1333424.37
41;1211158.55
42;1218684.28
43;1144032.03
44;1116600.76
45;1020856.87
46;1207167.54
47;1391089.32
48;1008295.47
49;1091677.29
50;1128693.04
51;1086363.97
0;625475.1
1;528944.54
2;741702.5
3;838225.19
4;429109.64
5;724865.72
6;925618.09
7;690633.88
8;831994.43
9;735206.51
10;805437.95
11;775976.51
12;678935.84
13;694871.74
14;760083.16
15;735436.91
16;729046.74
17;721703.83
18;598195.03
19;648148.15
20;669377.04
21;727916.83
22;703672.69
23;857872.86
24;738933.68
25;736913.15
26;696697.65
27;730826.79
28;743005.75
29;782886.63
30;600377.94
31;657593.22
32;592588.01
33;735145.02
34;781496.4
35;620827.49
36;797021.22
37;858680.51
38;645727.95
39;627546.3
40;603112.11
41;662131.8
42;719792.51
43;670820.5
44;899302.8
45;629074.28
46;766576.39
47;990211.57
48;695658.81
49;808194.41
50;666579.35
51;668086.0
0;255499.7
1;250436.24
2;275587.85
3;339797.19
4;228427.08
5;270529.34
6;248933.35
7;343645.67
8;340746.59
9;251336.74
10;358143.26
11;362400.65
12;286400.89
13;257472.31
14;373545.23
15;401472.63
16;336982.39
17;422762.9
18;267968.5
19;400251.59
20;341289.98
21;364735.69
22;326233.8
23;370830.93
24;310049.5
25;373691.57
26;329753.61
27;424580.52
28;372413.5
29;447813.52
30;324400.67
31;373245.43
32;495155.82
33;360917.96
34;374659.88
35;361243.2
36;468643.05
37;271182.01
38;295385.41
39;304048.16
40;455372.43
41;254974.87
42;278695.29
43;397899.56
44;250888.8
45;255597.63
46;268195.87
47;539750.77
48;277325.29
49;291788.43
50;332165.05
51;369694.27
0;147713.85
1;126262.26
2;117645.69
3;217174.66
4;120552.43
5;140981.22
6;129448.75
7;198257.69
8;205592.1
9;134921.44
10;184806.99
11;198769.54
12;160322.48
13;137849.61
14;244696.01
15;219380.93
16;170309.3
17;226898.73
18;128681.94
19;268902.14
20;186733.16
21;184067.49
22;153868.79
23;215736.47
24;153112.84
25;202842.97
26;155972.38
27;265555.66
28;197387.76
29;212599.11
30;167907.51
31;158917.21
32;277502.12
33;159642.82
34;238550.81
35;189609.49
36;310672.4
37;147494.24
38;157721.54
39;149631.24
40;311876.75
41;123895.07
42;146835.6
43;263987.21
44;129295.86
45;136761.35
46;132621.01
47;309471.69
48;144301.73
49;150201.39
50;185135.41
51;258979.63
0;2580602.96
1;2504745.45
2;2608448.06
3;2981347.2
4;2198408.92
5;2601821.63
6;2494044.41
7;3184946.53
8;3229124.75
9;2671535.94
10;2981549.94
11;3004133.39
12;2814678.93
13;2770074.76
14;3336245.24
15;3532480.92
16;3272555.01
17;3388803.79
18;2849127.29
19;3653376.07
20;3230139.65
21;3162447.64
22;3135698.38
23;3436864.41
24;3077237.12
25;3774004.27
26;3336314.35
27;3720458.83
28;3511185.14
29;3602112.79
30;3151714.0
31;3574050.61
32;3753201.03
33;3501344.46
34;3901054.42
35;3234024.32
36;3857605.11
37;2895992.9
38;2938918.81
39;2971443.88
40;3746598.18
41;2948199.23
42;3134752.64
43;3566752.43
44;2730224.03
45;2610004.41
46;2856456.35
47;4874124.41
48;2928692.32
49;3006207.02
50;3067638.32
51;3382800.12
0;173645.55
1;180186.23
2;187058.65
3;171195.76
4;146103.34
5;162429.43
6;189916.88
7;214993.36
8;219970.37
9;183276.68
10;264223.22
11;225079.92
12;188436.91
13;192478.26
14;188314.24
15;254744.58
16;225494.59
17;219908.82
18;222637.15
19;247813.45
20;247575.06
21;242281.36
22;225227.57
23;229650.57
24;233638.96
25;275844.88
26;243537.29
27;255431.85
28;277578.88
29;265638.42
30;260058.34
31;270097.92
32;252843.56
33;299147.73
34;255913.63
35;234322.13
36;237429.16
37;201544.53
38;216376.66
39;197282.25
40;219149.75
41;190760.3
42;192277.92
43;230913.14
44;191040.19
45;187671.77
46;239756.62
47;283137.88
48;206074.14
49;182604.68
50;178735.25
51;203939.14
0;243556.57
1;264155.74
2;238558.16
3;239945.42
4;213631.54
5;212091.14
6;275217.97
7;309186.06
8;326067.03
9;234361.36
10;407866.27
11;264227.78
12;262638.61
13;247141.63
14;241532.74
15;341176.21
16;281256.19
17;292827.27
18;298493.22
19;351074.46
20;354490.75
21;323449.77
22;266049.58
23;258239.1
24;389782.2
25;339064.22
26;304624.07
27;341628.84
28;338036.94
29;353474.52
30;319502.82
31;314930.61
32;358753.17
33;370924.13
34;329589.03
35;277178.42
36;271198.73
37;251083.39
38;246967.21
39;241495.12
40;292821.36
41;225761.68
42;210375.08
43;314917.55
44;220210.32
45;223170.31
46;364571.57
47;297969.31
48;241174.11
49;229216.05
50;232640.15
51;332208.14
0;944506.54
1;922355.67
2;998752.95
3;989676.85
4;783225.98
5;913002.96
6;998801.78
7;983909.85
8;1007805.74
9;933623.58
10;847813.12
11;1036269.51
12;1019283.99
13;968988.09
14;967228.05
15;1095790.27
16;1090493.39
17;926124.93
18;933166.17
19;968899.09
20;935149.69
21;948126.9
22;1086740.19
23;1093424.59
24;999607.51
25;1173819.67
26;1135915.03
27;1196121.27
28;1533409.28
29;1172177.72
30;1262932.78
31;1089679.39
32;1025659.59
33;1201673.17
34;1296308.05
35;1082231.89
36;933033.17
37;1096074.97
38;1249645.2
39;1116225.29
40;1036663.77
41;1043172.77
42;1166055.83
43;991328.46
44;978807.74
45;1062387.72
46;1180723.02
47;1280364.01
48;983910.94
49;1017854.16
50;1062071.65
51;1062990.62
0;123096.09
1;116353.68
2;125342.89
3;145740.44
4;108444.41
5;115384.56
6;124218.61
7;147799.55
8;147459.62
9;151558.74
10;159463.52
11;128848.68
12;139679.01
13;139490.52
14;185962.59
15;201620.58
16;156608.28
17;147066.48
18;131935.23
19;160059.77
20;148384.89
21;151883.21
22;144476.44
23;168164.47
24;161431.59
25;190716.43
26;198267.13
27;205199.16
28;173545.33
29;155730.59
30;142817.83
31;168797.97
32;164076.81
33;195532.38
34;178889.83
35;158499.41
36;179103.3
37;146422.18
38;151260.15
39;161288.59
40;160557.81
41;140487.57
42;160438.38
43;169556.49
44;127501.04
45;121767.82
46;158792.02
47;245352.56
48;149473.79
49;149319.82
50;138617.04
51;160130.15
0;132982.84
1;95935.66
2;140036.16
3;93337.13
4;121236.54
5;115300.79
6;90999.05
7;94495.69
8;162559.72
9;98097.37
10;92599.79
11;141875.2
12;153146.21
13;92325.73
14;157688.29
15;102870.89
16;179837.71
17;116109.0
18;111825.39
19;107523.14
20;188720.77
21;112332.05
22;112997.27
23;173741.3
24;110964.6
25;211960.25
26;135739.94
27;192111.32
28;129526.61
29;190396.8
30;128105.43
31;195410.86
32;120930.26
33;125605.25
34;254514.32
35;127939.11
36;124795.93
37;180970.46
38;146744.37
39;109050.11
40;185570.06
41;110128.66
42;112487.2
43;167254.64
44;121048.7
45;105176.25
46;91840.75
47;237910.63
48;109940.55
49;99496.16
50;99757.17
51;153506.84
0;292707.14
1;232294.71
2;216119.35
3;244024.83
4;205476.61
5;215985.17
6;247795.44
7;237248.22
8;230414.44
9;245167.14
10;279364.03
11;268709.29
12;269072.2
13;272925.76
14;284247.2
15;346994.49
16;311124.27
17;284309.17
18;261084.13
19;314774.36
20;353118.24
21;272441.01
22;272267.5
23;269642.38
24;277827.44
25;332735.24
26;293408.89
27;338638.8
28;389599.87
29;335693.08
30;285741.48
31;293059.1
32;279843.22
33;325085.14
34;406840.38
35;334718.74
36;336520.6
37;369817.99
38;360356.29
39;354048.59
40;311228.44
41;261650.41
42;291046.81
43;293036.34
44;242732.32
45;255465.26
46;318770.67
47;370223.11
48;249509.99
49;233186.09
50;274481.48
51;317861.35
0;2326942.14
1;2149872.45
2;2690296.07
3;3048290.53
4;2156008.93
5;2268076.38
6;2828361.9
7;2621078.31
8;2617806.65
9;2327634.45
10;2661345.12
11;2591981.76
12;2278629.09
13;2674658.54
14;2392448.9
15;2549512.5
16;2983163.34
17;3037663.98
18;2604991.25
19;2943218.77
20;3371114.14
21;2742211.46
22;2893887.74
23;2614726.11
24;2652480.7
25;3435374.51
26;2921148.91
27;3040023.34
28;3689140.93
29;3261844.41
30;3196936.02
31;2853904.6
32;2557700.83
33;3553642.53
34;4015563.02
35;2355703.98
36;2901188.07
37;2799667.4
38;2603114.56
39;2566690.28
40;2466735.33
41;2690257.2
42;2797745.89
43;3094278.93
44;2954705.54
45;2926435.94
46;2641032.65
47;4031949.04
48;2329987.29
49;2800679.5
50;2713699.6
51;2682159.95
0;61654.94
1;56443.43
2;76543.82
3;103277.35
4;58667.71
5;60971.36
6;58816.5
7;86929.62
8;103768.67
9;64602.5
10;74092.73
11;74536.59
12;63157.22
13;60980.52
14;71064.71
15;85919.67
16;98154.04
17;70164.74
18;65333.2
19;78926.9
20;83592.89
21;91136.65
22;99545.41
23;77503.36
24;72693.94
25;81748.59
26;69230.74
27;78272.57
28;82364.21
29;98865.51
30;92345.33
31;79567.66
32;73537.14
33;85446.43
34;95550.51
35;65742.4
36;95959.08
37;88236.19
38;75626.3
39;93802.08
40;95101.27
41;56870.1
42;62728.85
43;78626.99
44;107443.35
45;80537.77
46;87054.02
47;125504.98
48;86635.35
49;85580.15
50;75129.36
51;101162.98
0;545064.74
1;350533.71
2;529317.46
3;340513.61
4;470218.14
5;499396.26
6;368996.48
7;329065.04
8;566030.64
9;307072.85
10;333933.98
11;538384.22
12;570367.24
13;318048.12
14;559818.31
15;331077.9
16;637326.79
17;362232.28
18;372525.3
19;360308.77
20;655821.9
21;371660.15
22;379954.31
23;626841.5
24;402706.71
25;718152.22
26;443970.6
27;669409.29
28;437896.64
29;683877.72
30;419158.75
31;757305.14
32;450603.36
33;435547.13
34;917424.76
35;476017.06
36;434025.46
37;692569.85
38;510738.88
39;370065.74
40;642934.25
41;371716.28
42;356311.66
43;647014.16
44;369819.98
45;353520.71
46;348210.5
47;753300.79
48;398055.71
49;405138.19
50;342796.99
51;540234.22
0;2065131.33
1;2044020.93
2;2193142.82
3;2233138.01
4;1845443.13
5;1903245.0
6;2355839.19
7;2503008.26
8;2511760.36
9;2188485.29
10;2783170.15
11;2329757.67
12;2233935.94
13;2390611.02
14;2447264.74
15;2814803.06
16;3013825.75
17;2535192.78
18;2765838.1
19;2823405.23
20;2710710.15
21;2752081.97
22;2664424.22
23;2751192.77
24;2783554.82
25;3183419.6
26;2835630.41
27;2979417.82
28;3173051.42
29;2918298.91
30;3039403.06
31;3119050.91
32;2817008.33
33;2956859.19
34;3410467.52
35;2699614.5
36;2711008.32
37;2829416.58
38;2519677.31
39;2523110.39
40;2779012.66
41;2462108.11
42;2297509.11
43;2538981.6
44;2720346.71
45;2420829.45
46;2734006.98
47;3668037.65
48;2480820.72
49;2330829.2
50;2335986.11
51;2578275.12
0;123669.89
1;127373.56
2;153425.94
3;130989.23
4;119919.67
5;127165.59
6;124671.4
7;135506.08
8;159318.32
9;148660.26
10;182647.96
11;167655.6
12;157490.03
13;160547.52
14;197649.58
15;154621.8
16;175977.6
17;142153.55
18;171575.35
19;187310.28
20;176410.4
21;151807.11
22;149262.89
23;186258.97
24;152991.78
25;201797.82
26;159981.66
27;188762.81
28;172302.47
29;189470.19
30;166214.14
31;194990.71
32;149400.13
33;165726.92
34;222813.0
35;166556.79
36;140649.3
37;158490.37
38;155074.03
39;151301.45
40;173980.22
41;131053.65
42;149239.4
43;169423.5
44;148164.2
45;153852.03
46;171749.31
47;221471.45
48;140855.47
49;143464.64
50;149832.2
51;162162.75
0;187664.29
1;191937.02
2;204217.2
3;185395.2
4;175833.54
5;192074.98
6;195780.23
7;197713.69
8;204738.15
9;191180.56
10;206563.03
11;217777.46
12;222488.23
13;199908.44
14;224017.47
15;219776.27
16;248354.52
17;234307.92
18;240560.86
19;253158.7
20;272464.74
21;248670.72
22;258960.17
23;258559.32
24;239908.64
25;297481.36
26;261199.27
27;293734.93
28;262250.02
29;288859.92
30;245293.53
31;265237.17
32;257403.43
33;256291.77
34;308655.6
35;265739.79
36;263486.63
37;235709.99
38;237821.61
39;237188.41
40;282494.07
41;233696.32
42;248273.79
43;224752.17
44;256174.52
45;230069.01
46;242065.29
47;367711.87
48;271448.06
49;267666.12
50;239232.35
51;222751.51
0;1129876.05
1;1139347.98
2;1254805.29
3;1068971.54
4;999169.64
5;1111803.12
6;1357393.34
7;1406262.16
8;2180520.22
9;1048045.86
10;1856337.85
11;1099283.22
12;1342963.26
13;1201066.41
14;1192210.54
15;1479334.84
16;1340925.56
17;1251081.11
18;1477964.12
19;1535981.4
20;1563915.04
21;1458722.6
22;1211731.19
23;1251919.24
24;1338282.24
25;1666825.63
26;1284789.44
27;1667026.11
28;1363133.97
29;1731061.12
30;1493218.75
31;1515022.63
32;1255552.68
33;2118593.92
34;1679103.39
35;1295589.61
36;1332514.63
37;1084407.8
38;1244324.47
39;1183815.23
40;1192732.41
41;1097737.98
42;1129333.95
43;1338129.89
44;1088977.45
45;997562.44
46;1658708.73
47;1433763.11
48;1102868.27
49;1044280.56
50;1018225.83
51;1402890.2
0;3156360.2
1;3190120.04
2;3696551.52
3;3218494.55
4;2593780.51
5;3026217.24
6;3538946.22
7;4205775.44
8;4801621.08
9;3306614.18
10;4866607.14
11;3307828.65
12;3585183.3
13;3739072.7
14;3334592.0
15;4205294.58
16;4088061.71
17;3825966.51
18;4146220.81
19;4221435.38
20;4786334.13
21;4154658.67
22;3757524.71
23;4169213.2
24;4454138.91
25;4855273.71
26;4100932.47
27;4508474.0
28;4561749.66
29;4721927.3
30;4329239.82
31;4661457.29
32;4094677.85
33;5498650.28
34;4597313.41
35;3646363.66
36;3786141.18
37;3203213.09
38;3467770.71
39;3497026.98
40;3520408.65
41;3135991.73
42;3250832.53
43;3780455.44
44;3042447.03
45;2983695.9
46;4457049.41
47;4298883.17
48;3238501.89
49;3066789.62
50;3056024.77
51;3759282.62
0;304598.42
1;284808.22
2;407482.83
3;303058.29
4;219689.9
5;274209.2
6;287015.98
7;489339.78
8;350260.55
9;313881.26
10;402466.4
11;278472.66
12;298222.53
13;458602.59
14;322729.94
15;356105.25
16;508207.79
17;395127.18
18;400101.77
19;372516.0
20;579226.47
21;417082.92
22;402791.86
23;594451.88
24;509215.2
25;536642.98
26;452801.32
27;425885.58
28;537725.07
29;427216.77
30;413699.46
31;512172.44
32;422484.37
33;578436.76
34;366987.36
35;311879.23
36;346561.62
37;306250.63
38;309143.83
39;412639.2
40;282155.05
41;301852.8
42;287963.73
43;355677.99
44;264118.86
45;288514.78
46;363935.24
47;412752.74
48;290611.31
49;309202.71
50;314717.03
51;321823.77
0;305773.54
1;200074.81
2;310101.52
3;199063.82
4;262683.8
5;266950.55
6;200715.34
7;202954.88
8;330071.34
9;210265.79
10;204526.46
11;308032.62
12;332997.12
13;202457.31
14;329684.97
15;221548.25
16;375737.02
17;238269.85
18;228926.1
19;240185.69
20;388550.28
21;240821.52
22;239841.95
23;363733.15
24;245528.89
25;420329.35
26;277853.94
27;394035.19
28;256149.75
29;391556.97
30;250040.49
31;401991.2
32;243265.56
33;257032.99
34;501573.86
35;257307.97
36;231777.27
37;375363.86
38;300679.66
39;216925.45
40;363504.44
41;226247.68
42;219071.79
43;316199.07
44;226965.26
45;204812.28
46;204396.56
47;489224.51
48;211991.09
49;191078.37
50;202034.59
51;281803.19
0;308546.88
1;306843.13
2;352369.17
3;346896.0
4;275091.78
5;320058.33
6;363548.06
7;374933.8
8;559566.5
9;398337.69
10;496236.63
11;373650.83
12;388205.8
13;368779.77
14;361361.6
15;454795.64
16;399061.75
17;381319.43
18;449716.31
19;425707.59
20;405555.56
21;399212.29
22;373032.23
23;369973.99
24;372062.3
25;460459.45
26;378931.1
27;456983.44
28;421514.11
29;476827.34
30;436027.81
31;440574.33
32;388799.73
33;535922.59
34;548556.66
35;385541.99
36;389414.29
37;335389.56
38;365947.19
39;339877.09
40;449261.63
41;331456.96
42;349609.78
43;392412.07
44;348215.37
45;335173.17
46;477875.71
47;569304.8
48;355645.73
49;331495.41
50;315984.22
51;407675.56
0;1137707.43
1;1097224.25
2;907470.09
3;1105500.34
4;724915.6
5;737834.48
6;1010132.49
7;1102271.52
8;907452.21
9;761261.71
10;1094731.43
11;795732.52
12;726095.5
13;664201.67
14;892151.19
15;1100901.69
16;1390417.77
17;939785.74
18;873856.52
19;1203149.94
20;981975.08
21;946868.0
22;903242.22
23;928600.19
24;1015567.49
25;1456835.79
26;955510.57
27;1343180.92
28;1353850.06
29;1457359.83
30;1282095.88
31;1261540.03
32;1013049.67
33;1072300.38
34;1268607.36
35;1272428.72
36;1366844.88
37;1019280.57
38;1320320.85
39;1231267.27
40;1089117.0
41;1326720.8
42;1042159.49
43;1031351.33
44;1163115.49
45;1159509.68
46;1151157.44
47;1544750.92
48;1233503.27
49;1088608.66
50;1110753.05
51;1048062.16
0;73109.9
1;68972.79
2;65332.74
3;61870.23
4;54779.61
5;63345.59
6;64518.82
7;123489.29
8;81573.97
9;69191.72
10;70132.85
11;84053.56
12;89538.02
13;91558.77
14;74826.22
15;74962.45
16;114216.62
17;74510.02
18;83196.11
19;87687.64
20;145930.35
21;74680.7
22;68936.46
23;73321.36
24;68846.81
25;115579.5
26;111690.04
27;88214.04
28;92713.49
29;84556.54
30;83007.91
31;181169.72
32;85405.61
33;82110.05
34;208821.04
35;79976.86
36;75775.26
37;69339.77
38;76146.82
39;69747.2
40;68499.85
41;71906.75
42;159735.96
43;65484.37
44;70345.39
45;60213.79
46;66360.74
47;112065.73
48;98722.79
49;59312.07
50;54644.32
51;54956.8
0;1306923.23
1;1139861.64
2;1472501.13
3;1245289.61
4;1099646.06
5;1281613.28
6;1294866.75
7;1285586.97
8;1350091.82
9;1411354.54
10;1368887.69
11;1560845.55
12;1309245.88
13;1542657.96
14;1386951.96
15;1526985.3
16;1714650.22
17;1481150.17
18;1731574.98
19;1727851.85
20;1605913.77
21;1593031.18
22;1844887.26
23;1701986.81
24;1808842.07
25;1988311.9
26;1826182.48
27;1921720.44
28;1974806.07
29;2026464.23
30;1853451.18
31;2026639.78
32;1966712.28
33;2105831.09
34;2333238.9
35;1787071.74
36;1801956.87
37;2160085.64
38;1668243.39
39;1657404.68
40;1651115.09
41;1590080.35
42;1531085.64
43;1619341.49
44;1547969.24
45;1507821.92
46;1794543.77
47;2561325.42
48;1510836.96
49;1674945.55
50;1402841.83
51;1683795.3
0;417190.47
1;416298.84
2;429103.52
3;743770.2
4;353818.15
5;380726.46
6;568414.35
7;406548.16
8;423475.77
9;480396.16
10;438182.64
11;657656.23
12;421430.94
13;484598.47
14;566385.9
15;535519.29
16;465258.45
17;427776.92
18;545296.58
19;465897.27
20;448135.88
21;501106.6
22;433999.24
23;446862.52
24;568129.75
25;574999.04
26;508174.09
27;579558.0
28;622880.59
29;543944.19
30;600303.28
31;606039.09
32;487024.66
33;675269.74
34;644419.48
35;571442.54
36;610658.64
37;433703.29
38;432729.65
39;401824.91
40;426180.78
41;392802.67
42;419849.55
43;598755.26
44;495032.46
45;363889.04
46;447701.68
47;776237.93
48;432770.06
49;439617.61
50;510152.67
51;599965.86
0;208425.96
1;189584.22
2;207627.79
3;210379.48
4;185733.81
